Feature_ID,Feature_Name,Category,Description,Range,Data_Type,Importance,Extraction_Method
PORTS_04,ports_04_has_https,PORTS_Common,Binary: HTTPS port 443 open,0-1,float32,High,Port_check
PORTS_05,ports_05_has_db_port,PORTS_Database,Binary: Database port open,0-1,float32,High,Port_check
PORTS_06,ports_06_ssh_version_detected,PORTS_Service,Binary: SSH version detected via banner,0-1,float32,Medium,Banner_grab
PORTS_07,ports_07_web_service_count,PORTS_Web,Web service count normalized,0-1,float32,Medium,Service_detect
PORTS_08,ports_08_db_service_count,PORTS_Database,Database service count normalized,0-1,float32,Medium,Service_detect
PORTS_09,ports_09_unusual_ports_count,PORTS_Exposure,Count of unusual ports open,0-30,float32,Medium,Anomaly_detect
PORTS_10,ports_10_banner_success_rate,PORTS_Service,Banner grabbing success rate,0-1,float32,Low,Banner_stats
PORTS_11,ports_11_fingerprint_accuracy,PORTS_Service,Service fingerprint match accuracy,0-1,float32,Low,Fingerprint_match
PORTS_12,ports_12_unknown_services_count,PORTS_Service,Count of unidentified services,0-20,float32,Medium,Service_detect
PORTS_13,ports_13_has_mail_service,PORTS_Common,Binary: Mail service present,0-1,float32,Medium,Port_check
PORTS_14,ports_14_has_rdp,PORTS_Common,Binary: RDP port 3389 open,0-1,float32,High,Port_check
PORTS_15,ports_15_exposure_score,PORTS_Composite,Overall port exposure score,0-1,float32,High,Score_aggregation
TECH_01,tech_01_technology_count,TECH_Stack,Technology count normalized,0-1,float32,Low,Tech_count
TECH_02,tech_02_has_apache,TECH_Webserver,Binary: Apache web server detected,0-1,float32,Medium,Header_analysis
TECH_03,tech_03_has_nginx,TECH_Webserver,Binary: Nginx web server detected,0-1,float32,Medium,Header_analysis
TECH_04,tech_04_has_iis,TECH_Webserver,Binary: IIS web server detected,0-1,float32,Medium,Header_analysis
TECH_05,tech_05_has_wordpress,TECH_CMS,Binary: WordPress CMS detected,0-1,float32,High,Content_analysis
TECH_06,tech_06_has_drupal,TECH_CMS,Binary: Drupal CMS detected,0-1,float32,High,Content_analysis
TECH_07,tech_07_has_php,TECH_Language,Binary: PHP language detected,0-1,float32,Medium,Server_tech
TECH_08,tech_08_has_python,TECH_Language,Binary: Python language detected,0-1,float32,Medium,Server_tech
TECH_09,tech_09_has_nodejs,TECH_Language,Binary: Node.js/Express detected,0-1,float32,Medium,Server_tech
TECH_10,tech_10_has_java,TECH_Language,Binary: Java framework detected,0-1,float32,Medium,Server_tech
TECH_11,tech_11_cms_detected,TECH_CMS,Binary: CMS platform detected,0-1,float32,High,Content_analysis
TECH_12,tech_12_modern_framework,TECH_Framework,Binary: Modern framework detected,0-1,float32,Medium,Version_check
TECH_13,tech_13_server_exposed,TECH_Exposure,Binary: Server version is exposed,0-1,float32,High,Header_check
TECH_14,tech_14_vulnerability_count,TECH_Vulnerabilities,Count of known tech vulnerabilities,0-20,float32,High,CVE_database
TECH_15,tech_15_outdated_tech,TECH_Age,Binary: Uses outdated technology,0-1,float32,High,Version_check
TECH_16,tech_16_framework_diversity,TECH_Stack,Framework diversity score normalized,0-1,float32,Low,Diversity_calc
TECH_17,tech_17_security_score,TECH_Composite,Overall technology security score,0-1,float32,High,Score_aggregation
